DATE,STATE,PERMITS
2018-01-01,Alexander,97.0
2019-01-01,Alexander,93.0
2014-01-01,Catawba,283.0
2015-01-01,Catawba,348.0
2016-01-01,Catawba,335.0
2017-01-01,Catawba,498.0
2018-01-01,Catawba,742.0
2019-01-01,Catawba,852.0
2014-01-01,Macon,107.0
2015-01-01,Macon,85.0
2016-01-01,Macon,91.0
2017-01-01,Macon,93.0
2018-01-01,Macon,95.0
2019-01-01,Macon,5.0
2014-01-01,Lincoln,374.0
2015-01-01,Lincoln,444.0
2016-01-01,Lincoln,816.0
2017-01-01,Lincoln,1063.0
2018-01-01,Lincoln,792.0
2019-01-01,Lincoln,725.0
2014-01-01,McDowell,106.0
2015-01-01,McDowell,142.0
2016-01-01,McDowell,81.0
2017-01-01,McDowell,112.0
2018-01-01,McDowell,122.0
2019-01-01,McDowell,127.0
2014-01-01,Lenoir,54.0
2015-01-01,Lenoir,38.0
2016-01-01,Lenoir,112.0
2017-01-01,Lenoir,29.0
2018-01-01,Lenoir,93.0
2019-01-01,Lenoir,90.0
2014-01-01,Lee,71.0
2015-01-01,Lee,81.0
2016-01-01,Lee,98.0
2017-01-01,Lee,188.0
2018-01-01,Lee,158.0
2019-01-01,Lee,185.0
2014-01-01,Johnston,1280.0
2015-01-01,Johnston,1545.0
2016-01-01,Johnston,2007.0
2017-01-01,Johnston,2255.0
2018-01-01,Johnston,2550.0
2019-01-01,Johnston,2651.0
2014-01-01,Iredell,798.0
2015-01-01,Iredell,1356.0
2016-01-01,Iredell,1348.0
2017-01-01,Iredell,1816.0
2018-01-01,Iredell,1991.0
2019-01-01,Iredell,1263.0
2014-01-01,Hyde,8.0
2015-01-01,Hyde,6.0
2016-01-01,Hyde,15.0
2017-01-01,Hyde,15.0
2018-01-01,Hyde,11.0
2019-01-01,Hyde,5.0
2014-01-01,Hertford,20.0
2015-01-01,Hertford,75.0
2016-01-01,Hertford,20.0
2017-01-01,Hertford,8.0
2018-01-01,Hertford,0.0
2019-01-01,Hertford,2.0
2014-01-01,Halifax,54.0
2015-01-01,Halifax,47.0
2016-01-01,Halifax,39.0
2017-01-01,Halifax,102.0
2018-01-01,Halifax,124.0
2019-01-01,Halifax,51.0
2014-01-01,Greene,70.0
2015-01-01,Greene,53.0
2016-01-01,Greene,14.0
2017-01-01,Greene,22.0
2018-01-01,Greene,26.0
2019-01-01,Greene,25.0
2014-01-01,Hoke,219.0
2015-01-01,Hoke,274.0
2016-01-01,Hoke,236.0
2017-01-01,Hoke,219.0
2018-01-01,Hoke,244.0
2019-01-01,Hoke,238.0
2014-01-01,Henderson,339.0
2015-01-01,Henderson,616.0
2016-01-01,Henderson,555.0
2017-01-01,Henderson,596.0
2018-01-01,Henderson,834.0
2019-01-01,Henderson,619.0
2014-01-01,Harnett,612.0
2015-01-01,Harnett,747.0
2016-01-01,Harnett,678.0
2017-01-01,Harnett,650.0
2018-01-01,Harnett,597.0
2019-01-01,Harnett,639.0
2014-01-01,Granville,224.0
2015-01-01,Granville,259.0
2016-01-01,Granville,350.0
2017-01-01,Granville,282.0
2018-01-01,Granville,253.0
2019-01-01,Granville,341.0
2014-01-01,Franklin,242.0
2015-01-01,Franklin,353.0
2016-01-01,Franklin,457.0
2017-01-01,Franklin,590.0
2018-01-01,Franklin,736.0
2019-01-01,Franklin,918.0
2014-01-01,Edgecombe,31.0
2015-01-01,Edgecombe,32.0
2016-01-01,Edgecombe,90.0
2017-01-01,Edgecombe,42.0
2018-01-01,Edgecombe,39.0
2019-01-01,Edgecombe,32.0
2014-01-01,Gaston,687.0
2015-01-01,Gaston,1361.0
2016-01-01,Gaston,1104.0
2017-01-01,Gaston,1136.0
2018-01-01,Gaston,1230.0
2019-01-01,Gaston,1396.0
2014-01-01,Forsyth,1542.0
2015-01-01,Forsyth,1383.0
2016-01-01,Forsyth,1451.0
2017-01-01,Forsyth,2765.0
2018-01-01,Forsyth,2345.0
2019-01-01,Forsyth,2255.0
2014-01-01,Durham,1591.0
2015-01-01,Durham,3060.0
2016-01-01,Durham,3097.0
2017-01-01,Durham,3084.0
2018-01-01,Durham,3359.0
